loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status
Home Loan,33779,0.077875271,24,Self-employed,Medium,335,Female,Single,Bachelor,1
Education Loan,22636,0.097495558,35,Self-employed,Medium,333,Male,Married,Master,0
Car Loan,82889,0.087964635,55,Full-time,Low,387,Female,Single,Bachelor,0
Personal Loan,54551,0.04732683,43,Self-employed,Medium,315,Female,Married,Master,1
Home Loan,12556,0.072057996,27,Full-time,Medium,720,Female,Single,Bachelor,1
Home Loan,28598,0.071572369,43,Full-time,High,425,Male,Married,High School,0
Personal Loan,12563,0.087190414,56,Part-time,Medium,307,Male,Married,Bachelor,0
Personal Loan,47819,0.040627744,48,Full-time,Medium,771,Male,Married,Master,1
Home Loan,74770,0.118235146,47,Part-time,High,767,Female,Divorced,Master,0
Personal Loan,92055,0.087965391,32,Self-employed,Low,809,Male,Divorced,Bachelor,0
Education Loan,27966,0.082233152,58,Full-time,Low,701,Male,Divorced,PhD,0
Car Loan,82709,0.097723516,23,Part-time,Medium,475,Female,Single,Master,0
Education Loan,60889,0.115154811,32,Part-time,Low,666,Male,Married,High School,0
Car Loan,27987,0.0930612,32,Self-employed,Low,787,Female,Single,Bachelor,0
Car Loan,79714,0.094232196,54,Part-time,Low,317,Male,Single,Master,0
Personal Loan,59348,0.08196035,17,Full-time,Low,355,Female,Married,Bachelor,1
Personal Loan,25596,0.077877114,20,Full-time,Medium,334,Female,Divorced,Bachelor,0
Education Loan,34174,0.072863068,12,Part-time,Medium,646,Female,Single,PhD,1
Personal Loan,65106,0.06760832,23,Full-time,High,331,Female,Single,Bachelor,0
Education Loan,70967,0.069694789,25,Full-time,Medium,432,Female,Single,Bachelor,0
Home Loan,60182,0.059741661,17,Part-time,Medium,498,Female,Divorced,Bachelor,0
Education Loan,94300,0.078861928,12,Self-employed,Low,555,Female,Married,High School,0
Car Loan,88163,0.054729986,33,Self-employed,Low,641,Male,Married,Bachelor,1
Home Loan,40310,0.082863748,45,Full-time,Medium,530,Female,Single,High School,0
Education Loan,57088,0.079455041,22,Part-time,Medium,600,Male,Married,Bachelor,0
Education Loan,9906,0.082204029,14,Full-time,Low,846,Male,Divorced,PhD,0
Home Loan,37914,0.072168026,53,Full-time,Medium,325,Male,Married,PhD,0
Home Loan,46379,0.126152906,17,Part-time,Medium,834,Female,Single,Master,0
Car Loan,79612,0.100401739,17,Self-employed,Low,773,Male,Single,Bachelor,0
Car Loan,38650,0.061331862,31,Full-time,Low,686,Female,Married,PhD,1
Car Loan,47881,0.083493021,32,Self-employed,High,584,Male,Single,PhD,0
Personal Loan,47413,0.070879908,13,Full-time,Medium,749,Female,Divorced,Bachelor,0
Car Loan,7012,0.064782804,37,Part-time,Low,619,Female,Divorced,Master,0
Personal Loan,51115,0.059898919,42,Part-time,Low,455,Male,Divorced,High School,0
Education Loan,8151,0.08648325,37,Self-employed,Medium,770,Female,Divorced,PhD,1
Education Loan,58716,0.069779296,43,Full-time,Medium,719,Male,Single,PhD,0
Education Loan,94747,0.09451739,21,Part-time,Low,412,Female,Single,High School,0
Personal Loan,93653,0.094906733,34,Full-time,Medium,721,Female,Married,PhD,1
Education Loan,37378,0.100608716,17,Full-time,High,584,Male,Single,High School,0
Education Loan,43652,0.067214199,34,Self-employed,Low,353,Female,Married,High School,0
Personal Loan,73430,0.087130484,39,Full-time,Low,624,Male,Single,Master,0
Car Loan,14467,0.089486813,41,Full-time,Medium,757,Male,Married,High School,0
Car Loan,32010,0.072887327,25,Self-employed,Low,564,Male,Married,High School,0
Car Loan,55691,0.068423421,48,Part-time,Medium,681,Female,Divorced,High School,0
Car Loan,65157,0.10414281,43,Full-time,High,512,Male,Married,High School,1
Home Loan,13289,0.083412438,45,Full-time,High,632,Male,Married,PhD,0
Education Loan,45976,0.089539516,52,Part-time,High,309,Male,Married,High School,1
Car Loan,44596,0.06766886,55,Self-employed,Low,657,Male,Married,PhD,1
Car Loan,24171,0.061710733,33,Part-time,High,502,Female,Married,Bachelor,0
Car Loan,87365,0.071458253,42,Full-time,Medium,357,Female,Divorced,Bachelor,0
Car Loan,45139,0.078139679,18,Full-time,Medium,793,Male,Married,High School,0
Car Loan,49713,0.0640367,52,Self-employed,High,809,Male,Married,Master,0
Home Loan,30734,0.079852328,32,Self-employed,High,522,Male,Married,Master,1
Home Loan,73588,0.054672422,27,Part-time,Medium,668,Male,Single,PhD,0
Personal Loan,64646,0.063199289,31,Self-employed,High,717,Male,Single,PhD,0
Personal Loan,4654,0.090063669,54,Part-time,High,846,Male,Divorced,Bachelor,0
Car Loan,90022,0.089056858,55,Part-time,High,402,Female,Married,PhD,0
Personal Loan,19743,0.074121849,58,Full-time,Medium,460,Male,Married,Master,0
Home Loan,49368,0.064733535,30,Part-time,Medium,499,Male,Single,Bachelor,1
Car Loan,91025,0.064588947,59,Part-time,High,459,Male,Married,High School,0
Personal Loan,75172,0.074400976,43,Self-employed,Medium,435,Male,Divorced,PhD,0
Personal Loan,7441,0.089667777,26,Self-employed,High,697,Male,Married,High School,0
Home Loan,25611,0.093923685,16,Full-time,High,691,Male,Divorced,PhD,1
Education Loan,13149,0.072552024,22,Full-time,High,405,Female,Single,Master,0
Car Loan,60189,0.062697614,26,Full-time,Low,353,Female,Divorced,PhD,1
Personal Loan,22675,0.084017655,40,Part-time,Low,576,Male,Divorced,Master,0
Home Loan,72031,0.067646975,56,Self-employed,High,410,Female,Divorced,Master,0
Car Loan,43668,0.07222621,15,Part-time,Low,523,Male,Divorced,High School,0
Home Loan,14673,0.099879141,47,Full-time,High,374,Female,Divorced,PhD,0
Car Loan,77666,0.092406731,59,Self-employed,Low,805,Male,Divorced,High School,0
Education Loan,89204,0.082369615,34,Part-time,High,313,Male,Divorced,Master,0
Education Loan,81758,0.060921215,26,Self-employed,Low,781,Male,Divorced,Master,0
Car Loan,66429,0.083170949,57,Part-time,Medium,488,Female,Divorced,Master,0
Car Loan,24669,0.095939859,55,Full-time,Medium,663,Female,Single,Master,0
Home Loan,35068,0.074365495,14,Part-time,Low,538,Male,Divorced,Bachelor,0
Car Loan,89789,0.100266711,43,Part-time,High,700,Male,Divorced,Master,0
Personal Loan,10435,0.099391179,21,Full-time,Low,603,Female,Married,PhD,1
Car Loan,95088,0.104955992,51,Full-time,Low,390,Male,Married,Master,0
Car Loan,53249,0.084578647,49,Part-time,Medium,691,Male,Married,Bachelor,1
Education Loan,38384,0.088810875,33,Part-time,Medium,483,Male,Divorced,PhD,1
Education Loan,82929,0.101212809,25,Part-time,Medium,316,Female,Single,Bachelor,1
Home Loan,77153,0.086710909,28,Full-time,Low,311,Female,Single,Bachelor,0
Car Loan,76388,0.072481488,32,Full-time,Medium,465,Male,Married,PhD,0
Personal Loan,32401,0.073271857,59,Full-time,Medium,445,Male,Married,Bachelor,1
Personal Loan,72831,0.083578324,26,Self-employed,Medium,581,Female,Divorced,Master,0
Car Loan,35084,0.060641579,26,Self-employed,High,848,Male,Single,High School,0
Home Loan,56826,0.077851116,12,Full-time,High,468,Male,Single,High School,0
Personal Loan,37451,0.096448207,35,Self-employed,Low,469,Male,Married,High School,0
Home Loan,8227,0.047131192,23,Self-employed,Medium,645,Male,Single,PhD,1
Car Loan,32910,0.103017232,21,Part-time,Low,798,Female,Married,PhD,0
Home Loan,37041,0.096835613,57,Part-time,Low,759,Male,Married,PhD,0
Car Loan,89920,0.073103531,53,Part-time,Medium,596,Male,Divorced,High School,0
Education Loan,66681,0.088150862,53,Self-employed,Low,441,Male,Married,High School,0
Car Loan,82571,0.080047216,42,Self-employed,Medium,352,Female,Divorced,PhD,0
Home Loan,66481,0.098449856,22,Part-time,Medium,417,Female,Single,High School,0
Personal Loan,69576,0.094740247,27,Part-time,High,664,Female,Single,Bachelor,0
Car Loan,65174,0.058998939,20,Full-time,Low,435,Male,Married,Bachelor,0
Car Loan,27160,0.088808936,58,Self-employed,Low,713,Male,Married,High School,1
Car Loan,18633,0.076915582,25,Part-time,Medium,376,Male,Divorced,PhD,0
Education Loan,95880,0.081242489,30,Part-time,High,317,Female,Divorced,Master,0
Education Loan,18014,0.069077421,42,Part-time,High,702,Female,Single,Master,0
Education Loan,81532,0.106222056,20,Self-employed,Low,504,Male,Single,High School,0
Personal Loan,50104,0.095600927,47,Part-time,High,798,Male,Married,Master,1
Personal Loan,42621,0.068903433,50,Part-time,Low,623,Female,Married,PhD,1
Car Loan,78231,0.059980841,37,Part-time,Low,580,Male,Divorced,Bachelor,0
Personal Loan,69388,0.074214911,19,Part-time,High,465,Male,Married,Bachelor,0
Home Loan,17014,0.08651754,35,Part-time,Medium,542,Male,Divorced,PhD,0
Home Loan,93578,0.083603088,19,Full-time,Low,778,Female,Single,Master,0
Education Loan,34755,0.098796992,30,Part-time,Low,463,Male,Single,High School,0
Home Loan,41390,0.091848796,58,Full-time,Low,623,Female,Married,Bachelor,1
Home Loan,24711,0.094543535,59,Self-employed,Low,507,Male,Divorced,Master,0
Car Loan,92658,0.084902831,41,Self-employed,High,614,Female,Married,Master,1
Education Loan,58993,0.059160519,33,Self-employed,High,603,Female,Married,Bachelor,1
Education Loan,75696,0.077064522,20,Self-employed,High,538,Female,Divorced,Bachelor,0
Education Loan,28213,0.095901346,55,Self-employed,High,523,Male,Married,High School,0
Home Loan,58784,0.079227156,59,Part-time,Low,387,Male,Divorced,PhD,0
Personal Loan,8421,0.087546356,15,Part-time,Medium,836,Male,Divorced,Master,0
Car Loan,87936,0.075218775,48,Self-employed,Medium,728,Female,Married,High School,0
Personal Loan,18727,0.064552822,19,Part-time,High,519,Female,Divorced,Bachelor,1
Education Loan,5358,0.078149839,12,Full-time,Low,574,Male,Single,PhD,0
Education Loan,66108,0.084635712,39,Full-time,High,365,Female,Single,PhD,0
Home Loan,95018,0.070164684,17,Part-time,Medium,722,Female,Single,Master,0
Car Loan,33117,0.076464331,58,Self-employed,High,554,Male,Single,PhD,0
Car Loan,89700,0.065908051,47,Self-employed,Low,424,Female,Married,Bachelor,0
Car Loan,32910,0.096788674,22,Full-time,Low,445,Male,Single,Bachelor,1
Home Loan,99032,0.075583164,16,Part-time,Low,684,Male,Single,Bachelor,0
Personal Loan,56754,0.101791333,35,Full-time,High,746,Female,Single,High School,0
Car Loan,63438,0.102931218,58,Part-time,Medium,686,Male,Single,Bachelor,1
Personal Loan,30371,0.078784311,29,Self-employed,Low,682,Female,Married,High School,0
Home Loan,52501,0.064873269,31,Full-time,Medium,576,Male,Single,Bachelor,0
Home Loan,61946,0.048711532,39,Part-time,Medium,681,Male,Divorced,Bachelor,0
Personal Loan,39467,0.057919444,24,Self-employed,High,423,Male,Divorced,PhD,0
Car Loan,18625,0.059392478,16,Part-time,High,566,Male,Married,Master,0
Personal Loan,34893,0.100677044,41,Self-employed,Medium,410,Male,Married,Bachelor,0
Car Loan,77329,0.081737369,12,Part-time,Low,680,Male,Married,PhD,0
Education Loan,32007,0.085844068,33,Full-time,Low,457,Male,Single,PhD,0
Education Loan,92302,0.046693685,29,Part-time,High,847,Female,Married,Master,0
Car Loan,40532,0.062030504,57,Full-time,Low,417,Male,Single,PhD,0
Personal Loan,55253,0.093306197,16,Full-time,Medium,627,Male,Married,PhD,0
Car Loan,13323,0.084301612,42,Full-time,Low,367,Female,Divorced,Master,0
Car Loan,74379,0.077791921,17,Self-employed,High,733,Female,Divorced,High School,0
Car Loan,15210,0.088472635,38,Full-time,Medium,658,Male,Single,Master,0
Education Loan,17456,0.104536967,36,Full-time,Medium,742,Female,Married,Master,0
Home Loan,32367,0.076684363,40,Full-time,Low,463,Male,Divorced,Bachelor,0
Education Loan,55624,0.081040547,39,Self-employed,Low,660,Male,Single,Bachelor,1
Car Loan,11106,0.082888954,27,Part-time,Medium,418,Female,Divorced,High School,0
Personal Loan,69008,0.115881645,23,Self-employed,High,494,Female,Married,Master,1
Home Loan,73240,0.048509656,31,Self-employed,High,540,Male,Single,Master,0
Car Loan,65315,0.090248345,29,Part-time,Low,808,Female,Divorced,High School,1
Home Loan,70249,0.078277966,45,Part-time,High,441,Male,Married,Bachelor,0
Personal Loan,71587,0.088501576,34,Full-time,Medium,330,Male,Single,Master,0
Home Loan,11756,0.070139412,56,Full-time,High,522,Female,Divorced,High School,0
Home Loan,69011,0.079265525,38,Part-time,Medium,565,Male,Divorced,Bachelor,0
Car Loan,37378,0.090671159,28,Part-time,Low,581,Female,Single,PhD,1
Personal Loan,5255,0.126693653,59,Self-employed,High,680,Female,Married,High School,0
Personal Loan,15484,0.092120543,32,Self-employed,Medium,361,Female,Single,High School,0
Education Loan,57549,0.067279016,51,Self-employed,Low,820,Male,Divorced,Master,0
Home Loan,35503,0.073643605,42,Part-time,Medium,370,Male,Divorced,PhD,1
Car Loan,74794,0.073198788,14,Full-time,High,835,Male,Divorced,Bachelor,0
Home Loan,46113,0.053065352,28,Self-employed,Medium,439,Female,Married,PhD,0
Home Loan,75069,0.075048647,37,Self-employed,Low,615,Male,Divorced,Master,1
Home Loan,99117,0.090992436,34,Part-time,Low,639,Female,Divorced,Master,0
Car Loan,6249,0.060886518,17,Self-employed,High,827,Female,Single,Bachelor,0
Home Loan,20201,0.09572724,39,Part-time,Low,840,Male,Divorced,Bachelor,0
Car Loan,59576,0.087316622,19,Full-time,High,715,Female,Single,Bachelor,0
Personal Loan,10686,0.0689865,56,Self-employed,Low,766,Male,Divorced,Master,0
Home Loan,54363,0.077877055,19,Self-employed,High,674,Female,Single,Bachelor,0
Education Loan,98543,0.103974827,30,Self-employed,Low,590,Male,Single,Bachelor,0
Personal Loan,1661,0.091003217,49,Part-time,High,342,Female,Single,Bachelor,0
Education Loan,45843,0.080131755,40,Part-time,Medium,352,Female,Single,High School,0
Home Loan,96673,0.07643475,34,Full-time,Medium,531,Male,Married,Bachelor,0
Personal Loan,61963,0.081149136,58,Part-time,High,511,Male,Divorced,Master,1
Car Loan,43828,0.072323547,43,Self-employed,Low,307,Male,Married,High School,0
Home Loan,49604,0.048428757,21,Self-employed,Low,782,Male,Divorced,Master,0
Home Loan,11526,0.110632669,38,Part-time,High,341,Male,Single,PhD,0
Car Loan,69910,0.082329875,12,Full-time,Low,632,Female,Divorced,High School,0
Education Loan,26592,0.085972209,50,Part-time,High,532,Female,Single,Bachelor,0
Personal Loan,29982,0.079131384,40,Part-time,Medium,369,Male,Divorced,High School,1
Personal Loan,1207,0.068973248,56,Self-employed,High,315,Male,Single,Master,0
Car Loan,89733,0.077211133,14,Self-employed,Low,368,Female,Divorced,High School,1
Personal Loan,99936,0.056009079,58,Self-employed,Low,352,Female,Divorced,PhD,0
Car Loan,69619,0.114156297,48,Part-time,High,678,Male,Divorced,Bachelor,1
Education Loan,30328,0.06148232,42,Part-time,High,762,Male,Single,Bachelor,0
Education Loan,47479,0.064520506,22,Full-time,High,826,Male,Divorced,PhD,0
Personal Loan,21103,0.073396112,33,Self-employed,High,362,Female,Single,Master,1
Car Loan,40891,0.099321136,29,Full-time,Medium,560,Female,Married,High School,0
Car Loan,11754,0.080217635,46,Self-employed,Low,799,Female,Divorced,Master,0
Car Loan,82437,0.061457963,17,Full-time,Low,420,Female,Single,Master,0
Car Loan,99540,0.098815075,14,Self-employed,High,539,Male,Single,Master,0
Personal Loan,73982,0.090965009,16,Part-time,High,764,Male,Single,Bachelor,0
Home Loan,56922,0.088076524,20,Self-employed,High,406,Male,Married,High School,0
Personal Loan,49231,0.090736014,39,Full-time,Medium,479,Female,Single,Bachelor,0
Car Loan,30301,0.115915429,30,Full-time,Medium,315,Female,Married,Bachelor,0
Home Loan,92652,0.112776423,39,Self-employed,High,654,Male,Married,Bachelor,0
Home Loan,63711,0.06969927,38,Part-time,Low,608,Male,Single,High School,0
Personal Loan,42323,0.104358275,24,Self-employed,Medium,480,Female,Divorced,PhD,0
Car Loan,19752,0.085747523,49,Part-time,Low,473,Male,Married,Bachelor,1
Car Loan,98912,0.087486437,54,Self-employed,Medium,653,Male,Single,Bachelor,0
Car Loan,83205,0.054615938,32,Part-time,High,653,Female,Married,Bachelor,0
Car Loan,99452,0.077444214,38,Self-employed,High,518,Male,Single,High School,1
Car Loan,14395,0.067807646,57,Self-employed,Low,614,Female,Single,High School,0
Home Loan,86957,0.092420882,17,Part-time,High,733,Male,Married,Master,1
Personal Loan,57273,0.096066208,49,Part-time,Low,581,Male,Single,Bachelor,0
Personal Loan,92878,0.048882705,22,Self-employed,High,558,Male,Married,Bachelor,0
Education Loan,5895,0.079669477,58,Full-time,High,304,Female,Single,High School,0
Personal Loan,77559,0.096827923,52,Part-time,Low,693,Female,Divorced,High School,0
Home Loan,11699,0.077199816,28,Full-time,High,635,Female,Divorced,Bachelor,0
Education Loan,66061,0.090935955,50,Full-time,Medium,362,Female,Married,PhD,1
Home Loan,10715,0.085267482,18,Full-time,High,343,Male,Married,Master,0
Personal Loan,20169,0.085124903,41,Full-time,Low,452,Female,Married,Master,0
Home Loan,17163,0.075930275,32,Self-employed,High,455,Male,Married,Bachelor,0
Home Loan,6782,0.061751288,12,Part-time,Medium,777,Male,Divorced,Master,0
Personal Loan,89177,0.063177048,36,Self-employed,High,574,Male,Married,Master,0
Home Loan,85328,0.090640288,43,Self-employed,High,657,Male,Single,Bachelor,0
Education Loan,36585,0.080291874,19,Self-employed,Medium,725,Male,Single,Master,0
Education Loan,31682,0.077922316,16,Self-employed,High,831,Male,Married,High School,0
Car Loan,48864,0.073641649,41,Self-employed,High,782,Male,Single,Bachelor,1
Education Loan,85416,0.075422167,19,Part-time,Low,513,Female,Married,High School,0
Education Loan,56114,0.095703677,30,Self-employed,Low,378,Male,Single,Bachelor,0
Personal Loan,39067,0.074971339,55,Self-employed,Low,438,Female,Single,High School,0
Education Loan,43685,0.059884029,41,Self-employed,Low,397,Male,Married,Master,0
Personal Loan,19073,0.091154777,26,Full-time,Medium,497,Female,Married,PhD,0
Education Loan,37035,0.07692685,47,Self-employed,Low,455,Male,Divorced,High School,0
Personal Loan,65977,0.080470938,55,Part-time,Low,349,Female,Married,High School,0
Personal Loan,91373,0.104113675,38,Part-time,High,778,Male,Divorced,PhD,0
Home Loan,84362,0.079691592,24,Part-time,Medium,527,Female,Married,PhD,0
Education Loan,91517,0.084337755,25,Full-time,Medium,756,Female,Single,High School,0
Personal Loan,66450,0.062316148,48,Part-time,Low,821,Female,Divorced,High School,0
Education Loan,11382,0.076704958,59,Full-time,High,448,Male,Single,High School,0
Car Loan,5437,0.089142891,41,Part-time,Medium,357,Male,Married,Bachelor,1
Home Loan,71971,0.056669394,50,Full-time,Medium,461,Female,Married,High School,0
Home Loan,65612,0.083012676,58,Part-time,Low,776,Female,Married,High School,0
Personal Loan,91355,0.081511866,24,Self-employed,Low,406,Male,Married,PhD,1
Education Loan,62929,0.080619312,27,Part-time,Low,726,Male,Divorced,PhD,0
Home Loan,98518,0.095557383,55,Part-time,High,694,Male,Divorced,Bachelor,0
Home Loan,99864,0.085016578,18,Part-time,Low,485,Male,Married,Bachelor,0
Home Loan,13329,0.102171078,59,Self-employed,Medium,745,Male,Single,Master,0
Personal Loan,26169,0.065096157,38,Full-time,Medium,747,Female,Divorced,High School,0
Car Loan,88468,0.082038869,56,Full-time,Low,386,Female,Single,High School,0
Personal Loan,35594,0.081267002,46,Self-employed,Medium,548,Female,Married,PhD,1
Car Loan,77957,0.063961183,26,Self-employed,High,739,Female,Divorced,Master,0
Home Loan,61631,0.094344425,39,Full-time,Low,556,Male,Divorced,High School,0
Car Loan,46033,0.1148701,46,Full-time,Medium,576,Male,Divorced,Master,0
Personal Loan,64133,0.079744909,18,Full-time,Medium,737,Female,Single,Bachelor,0
Personal Loan,74165,0.087575316,57,Full-time,Low,815,Male,Married,High School,0
Education Loan,74861,0.081267777,57,Full-time,Medium,501,Male,Married,High School,0
Education Loan,53290,0.06929623,31,Self-employed,Medium,479,Female,Divorced,Bachelor,0
Personal Loan,95031,0.052688596,43,Full-time,Low,624,Female,Divorced,High School,0
Education Loan,32750,0.069413398,49,Full-time,High,774,Male,Married,Bachelor,0
Home Loan,96155,0.059120624,51,Part-time,Medium,699,Female,Single,Bachelor,0
Car Loan,41461,0.105561531,43,Self-employed,High,516,Male,Divorced,Master,0
Personal Loan,74800,0.078273355,37,Self-employed,High,752,Female,Single,PhD,0
Personal Loan,79222,0.07481121,50,Full-time,High,703,Male,Single,PhD,0
Education Loan,25226,0.093337307,31,Part-time,High,539,Female,Married,Bachelor,0
Personal Loan,7721,0.063173733,29,Part-time,High,485,Male,Married,Master,0
Education Loan,57154,0.068497039,26,Full-time,Medium,347,Male,Single,Bachelor,0
Home Loan,21609,0.081021084,33,Part-time,Medium,685,Male,Single,Master,0
Personal Loan,53130,0.095431535,33,Full-time,High,507,Female,Married,Master,0
Home Loan,73909,0.087525276,32,Self-employed,Low,456,Male,Divorced,PhD,1
Home Loan,56249,0.083724877,13,Part-time,High,524,Male,Single,PhD,0
Personal Loan,49895,0.081171766,51,Full-time,Low,443,Female,Divorced,Master,0
Education Loan,95473,0.086003538,54,Full-time,Medium,718,Female,Single,PhD,1
Education Loan,6656,0.083024794,29,Full-time,Low,410,Male,Married,Master,0
Home Loan,75520,0.064550416,34,Self-employed,Medium,764,Male,Divorced,High School,0
Education Loan,64740,0.080691188,24,Part-time,Low,431,Female,Married,Bachelor,0
Education Loan,65309,0.06389467,52,Self-employed,High,633,Female,Single,PhD,0
Home Loan,30984,0.081216238,20,Self-employed,Medium,374,Male,Married,Bachelor,0
Personal Loan,74822,0.072790281,18,Part-time,Low,711,Male,Divorced,PhD,0
Personal Loan,6901,0.118090724,52,Self-employed,High,818,Female,Married,Bachelor,0
Car Loan,32552,0.079401584,12,Full-time,Low,335,Male,Divorced,Bachelor,0
Personal Loan,92245,0.058936407,13,Part-time,Low,522,Male,Married,PhD,0
Education Loan,32055,0.077987297,15,Self-employed,Low,829,Male,Married,PhD,0
Car Loan,38685,0.087790381,25,Part-time,Medium,540,Female,Divorced,PhD,1
Car Loan,74965,0.105100459,43,Self-employed,Medium,433,Female,Divorced,PhD,0
Car Loan,15716,0.071158214,47,Full-time,High,690,Male,Divorced,Master,0
Personal Loan,12138,0.05626358,13,Self-employed,Low,401,Male,Single,PhD,0
Car Loan,36298,0.092252555,51,Part-time,Low,797,Male,Married,PhD,1
Car Loan,52112,0.059291019,25,Self-employed,Medium,810,Female,Divorced,PhD,0
Car Loan,24429,0.073457668,31,Full-time,Medium,836,Male,Single,High School,0
Personal Loan,51200,0.076135693,36,Full-time,Low,844,Female,Single,Bachelor,0
Personal Loan,72308,0.078955498,53,Full-time,Low,642,Male,Divorced,PhD,0
Personal Loan,49244,0.090337467,19,Self-employed,Low,305,Female,Divorced,PhD,0
Personal Loan,18347,0.069745486,39,Part-time,Medium,493,Male,Divorced,Bachelor,0
Home Loan,17920,0.075894061,57,Self-employed,Low,436,Female,Single,Bachelor,0
Personal Loan,32822,0.079785945,32,Self-employed,Low,772,Female,Single,Master,0
Education Loan,47659,0.082243969,34,Self-employed,Medium,515,Male,Married,Bachelor,0
Car Loan,41108,0.081467408,43,Part-time,Medium,648,Female,Single,Bachelor,0
Personal Loan,90099,0.086540087,19,Full-time,Medium,482,Male,Divorced,High School,0
Education Loan,8967,0.092657593,42,Full-time,Medium,467,Female,Married,Master,0
Education Loan,12871,0.085889512,48,Full-time,Low,337,Male,Married,High School,0
Education Loan,95299,0.086803783,27,Part-time,Medium,770,Female,Married,Bachelor,0
Home Loan,78452,0.056266652,51,Self-employed,Medium,751,Female,Married,PhD,0
Home Loan,75270,0.080753415,53,Self-employed,Low,789,Male,Divorced,Master,0
Home Loan,34613,0.087192613,38,Self-employed,High,441,Female,Married,Bachelor,0
Education Loan,29179,0.090934118,51,Part-time,Low,402,Male,Divorced,Bachelor,0
Personal Loan,53188,0.069614738,52,Self-employed,Low,341,Male,Single,PhD,1
Education Loan,56099,0.070114411,29,Part-time,Low,446,Male,Divorced,PhD,0
Home Loan,36262,0.07138849,46,Full-time,Low,365,Female,Married,PhD,0
Home Loan,79213,0.088046208,26,Full-time,Low,492,Female,Single,Master,0
Home Loan,19268,0.095508216,38,Part-time,Low,597,Female,Single,High School,0
Personal Loan,78866,0.073888098,28,Full-time,Low,337,Male,Single,Master,0
Education Loan,87269,0.093619435,51,Part-time,High,801,Male,Married,PhD,1
Home Loan,61545,0.081852197,13,Self-employed,Low,727,Female,Divorced,Master,0
Education Loan,93822,0.078135713,42,Full-time,Low,651,Male,Divorced,PhD,0
Education Loan,73146,0.076829237,48,Full-time,Low,625,Female,Married,High School,1
Home Loan,72966,0.09119917,52,Self-employed,Low,337,Female,Married,Master,1
Car Loan,40922,0.084883667,52,Self-employed,Low,396,Male,Single,High School,0
Car Loan,80364,0.114137381,45,Part-time,High,407,Male,Divorced,High School,1
Car Loan,43913,0.06721663,45,Full-time,Medium,450,Male,Married,PhD,0
Home Loan,98033,0.087771526,14,Self-employed,Medium,373,Male,Married,Master,0
Education Loan,56677,0.072061985,28,Full-time,Low,356,Female,Divorced,Master,0
Car Loan,50841,0.066960695,25,Full-time,High,634,Male,Single,High School,1
Personal Loan,47332,0.079836993,25,Full-time,High,551,Male,Single,PhD,0
Car Loan,93062,0.082060287,57,Full-time,High,553,Male,Single,High School,1
Personal Loan,96694,0.123772603,49,Part-time,Medium,684,Female,Divorced,High School,0
Car Loan,26032,0.077237813,46,Self-employed,Medium,755,Male,Married,High School,0
Car Loan,38846,0.063047319,12,Full-time,High,558,Male,Married,High School,0
Car Loan,60474,0.084095161,59,Self-employed,Medium,764,Female,Married,Master,0
Personal Loan,45936,0.048880399,40,Self-employed,Medium,333,Female,Married,Bachelor,0
Personal Loan,30794,0.078620648,15,Part-time,Low,794,Female,Divorced,Master,0
Car Loan,62588,0.080240379,44,Part-time,Low,625,Male,Single,PhD,0
Personal Loan,71984,0.091919006,28,Full-time,Low,537,Female,Single,Bachelor,0
Education Loan,51331,0.094604334,39,Full-time,High,840,Female,Single,High School,0
Car Loan,95397,0.072446456,37,Part-time,Low,765,Male,Single,Master,0
Education Loan,29141,0.07774079,19,Self-employed,High,603,Male,Married,Bachelor,0
Home Loan,10074,0.068508188,45,Self-employed,Low,416,Female,Married,High School,1
Home Loan,7406,0.063079062,29,Part-time,High,506,Male,Divorced,Master,1
Home Loan,98359,0.084648422,42,Full-time,Medium,780,Male,Single,Bachelor,0
Education Loan,24291,0.060896217,38,Full-time,High,702,Female,Married,Master,0
Personal Loan,42568,0.073780596,27,Full-time,Medium,532,Male,Married,Bachelor,1
Home Loan,98539,0.065072391,21,Part-time,Low,583,Male,Married,PhD,0
Car Loan,47851,0.088245248,51,Part-time,Medium,779,Female,Single,Master,0
Car Loan,55823,0.107021451,23,Self-employed,Medium,308,Female,Married,Master,1
Personal Loan,24312,0.06047618,33,Part-time,Low,678,Male,Single,Bachelor,1
Car Loan,44108,0.052204723,27,Full-time,High,680,Female,Single,PhD,0
Education Loan,67918,0.078126697,23,Self-employed,High,659,Female,Divorced,Master,0
Home Loan,35171,0.080235467,22,Full-time,High,475,Male,Divorced,PhD,0
Education Loan,42779,0.08327989,31,Full-time,Low,784,Male,Single,PhD,0
Car Loan,69828,0.073305192,12,Self-employed,High,704,Male,Single,Master,0
Education Loan,99723,0.076990411,38,Full-time,Medium,332,Female,Single,High School,0
Personal Loan,13411,0.085512656,14,Self-employed,Low,764,Female,Married,Bachelor,0
Education Loan,58009,0.095606463,23,Full-time,High,456,Male,Married,Master,0
Car Loan,16422,0.050674268,41,Full-time,Medium,501,Male,Married,PhD,0
Car Loan,43468,0.074465908,20,Self-employed,Medium,474,Male,Divorced,Bachelor,0
Home Loan,33371,0.083207132,48,Full-time,High,543,Male,Single,Master,0
Education Loan,58022,0.066230358,12,Full-time,Low,568,Female,Married,Bachelor,0
